Encoding,Horizon,Problem,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
clingcon,840,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p03[count=350]_OPT_xdeltime_840.txt,18578520,11289600,12512340,,,42380460
clingcon,840,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p04[count=350]_OPT_xdeltime_840.txt,18583780,11289600,12512340,12832100,,55217820
clingcon,840,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p05[count=350]_OPT_xdeltime_840.txt,18583780,11289600,12512340,12832100,16679500,71897320
clingcon,840,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p02[count=350]_OPT_xdeltime_840.txt,18578520,11289600,,,,29868120
clingcon,840,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p01[count=350]_OPT_xdeltime_840.txt,18578520,,,,,18578520
clingcon,840,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p03[count=350]_OPT_xdeltime_840.txt,22490640,16992000,17184080,,,56666720
clingcon,840,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p04[count=350]_OPT_xdeltime_840.txt,25014120,16185600,17205840,16805600,,75211160
clingcon,840,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p05[count=350]_OPT_xdeltime_840.txt,25014120,16185600,17205840,16805600,20881900,96093060
clingcon,840,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p02[count=350]_OPT_xdeltime_840.txt,25014120,16185600,,,,41199720
clingcon,840,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p01[count=350]_OPT_xdeltime_840.txt,25014120,,,,,25014120
clingcon,840,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p03[count=350]_OPT_xdeltime_840.txt,22490640,17049600,17255140,,,56795380
clingcon,840,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p04[count=350]_OPT_xdeltime_840.txt,24946140,16012800,17205840,16881000,,75045780
clingcon,840,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p05[count=350]_OPT_xdeltime_840.txt,24946140,16012800,17205840,16881000,20881900,95927680
clingcon,840,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p02[count=350]_OPT_xdeltime_840.txt,24946140,16012800,,,,40958940
clingcon,840,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p01[count=350]_OPT_xdeltime_840.txt,24946140,,,,,24946140
