Encoding,Horizon,Problem,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p03[count=350]_OPT_xdelta_600.txt,14923320,9849600,10576560,,,35349480
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p04[count=350]_OPT_xdelta_600.txt,14923320,9849600,10576560,9447200,,44796680
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p05[count=350]_OPT_xdelta_600.txt,14923320,9849600,10576560,9447200,12971700,57768380
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p02[count=350]_OPT_xdelta_600.txt,14923320,9849600,,,,24772920
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p01[count=350]_OPT_xdelta_600.txt,14923320,,,,,14923320
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p03[count=350]_OPT_xdelta_600.txt,16259180,13190400,12377180,,,41826760
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p05[count=350]_OPT_xdelta_600.txt,19599500,12384000,12409260,13423600,17009300,74825660
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p02[count=350]_OPT_xdelta_600.txt,19599500,12384000,,,,31983500
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p01[count=350]_OPT_xdelta_600.txt,19628320,,,,,19628320
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p03[count=350]_OPT_xdelta_600.txt,16227980,13305600,12519300,,,42052880
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p05[count=350]_OPT_xdelta_600.txt,19578640,12326400,12453960,13423600,17009300,74791900
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p02[count=350]_OPT_xdelta_600.txt,19434540,12153600,,,,31588140
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p01[count=350]_OPT_xdelta_600.txt,19434540,,,,,19434540
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26morn/p03[count=350]_OPT_xdelta_600.txt,11329480,9504000,10487160,,,31320640
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26morn/p04[count=350]_OPT_xdelta_600.txt,11329480,9504000,10487160,9363900,,40684540
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26morn/p05[count=350]_OPT_xdelta_600.txt,11329480,9504000,10487160,9363900,10311600,50996140
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26morn/p02[count=350]_OPT_xdelta_600.txt,11329480,9504000,,,,20833480
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26morn/p01[count=350]_OPT_xdelta_600.txt,11329480,,,,,11329480
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26morn/p03[count=350]_OPT_xdelta_600.txt,16102980,13363200,12608700,,,42074880
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26morn/p05[count=350]_OPT_xdelta_600.txt,16102980,13305600,12564000,11713100,12618800,66304480
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26morn/p02[count=350]_OPT_xdelta_600.txt,16102980,13363200,,,,29466180
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26morn/p01[count=350]_OPT_xdelta_600.txt,16102980,,,,,16102980
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26morn/p03[count=350]_OPT_xdelta_600.txt,16227980,13363200,12608700,,,42199880
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26morn/p05[count=350]_OPT_xdelta_600.txt,16227980,13305600,12564000,11779000,12701200,66577780
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26morn/p02[count=350]_OPT_xdelta_600.txt,16227980,13363200,,,,29591180
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26morn/p01[count=350]_OPT_xdelta_600.txt,16227980,,,,,16227980
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26noon/p03[count=350]_OPT_xdelta_600.txt,13794500,9734400,10170840,,,33699740
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26noon/p04[count=350]_OPT_xdelta_600.txt,13794500,9734400,10170840,9369700,,43069440
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26noon/p05[count=350]_OPT_xdelta_600.txt,13794500,9734400,10170840,9369700,11406000,54475440
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26noon/p02[count=350]_OPT_xdelta_600.txt,13794500,9734400,,,,23528900
