Encoding,Horizon,Problem,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p03[count=350],149.2332,98.496,105.7656,,,353.4948
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p04[count=350],149.2332,98.496,105.7656,94.472,,447.9668
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p05[count=350],149.2332,98.496,105.7656,94.472,129.717,577.6838
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p02[count=350],149.2332,98.496,,,,247.7292
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p01[count=350],149.2332,,,,,149.2332
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p03[count=350],162.5918,131.904,123.7718,,,418.2676
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p05[count=350],195.995,123.84,124.0926,134.236,170.093,748.2566
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p02[count=350],195.995,123.84,,,,319.835
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p01[count=350],196.2832,,,,,196.2832
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p03[count=350],162.2798,133.056,125.193,,,420.5288
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p05[count=350],195.7864,123.264,124.5396,134.236,170.093,747.919
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p02[count=350],194.3454,121.536,,,,315.8814
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p01[count=350],194.3454,,,,,194.3454
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26morn/p03[count=350],113.2948,95.04,104.8716,,,313.2064
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26morn/p04[count=350],113.2948,95.04,104.8716,93.639,,406.8454
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26morn/p05[count=350],113.2948,95.04,104.8716,93.639,103.116,509.9614
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26morn/p02[count=350],113.2948,95.04,,,,208.3348
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26morn/p01[count=350],113.2948,,,,,113.2948
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26morn/p03[count=350],161.0298,133.632,126.087,,,420.7488
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26morn/p05[count=350],161.0298,133.056,125.64,117.131,126.188,663.0448
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26morn/p02[count=350],161.0298,133.632,,,,294.6618
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26morn/p01[count=350],161.0298,,,,,161.0298
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26morn/p03[count=350],162.2798,133.632,126.087,,,421.9988
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26morn/p05[count=350],162.2798,133.056,125.64,117.79,127.012,665.7778
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26morn/p02[count=350],162.2798,133.632,,,,295.9118
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26morn/p01[count=350],162.2798,,,,,162.2798
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26noon/p03[count=350],137.945,97.344,101.7084,,,336.9974
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26noon/p04[count=350],137.945,97.344,101.7084,93.697,,430.6944
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26noon/p05[count=350],137.945,97.344,101.7084,93.697,114.06,544.7544
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26noon/p02[count=350],137.945,97.344,,,,235.289
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26noon/p01[count=350],137.945,,,,,137.945
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26noon/p03[count=350],199.117,127.296,123.5312,,,449.9442
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26noon/p05[count=350],199.117,127.296,123.5312,129.942,150.316,730.2022
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26noon/p02[count=350],199.117,127.296,,,,326.413
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26noon/p01[count=350],199.1966,,,,,199.1966
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26noon/p03[count=350],200.5612,126.144,123.9782,,,450.6834
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26noon/p05[count=350],200.5612,126.144,123.5312,127.111,147.02,724.3674
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26noon/p02[count=350],200.5612,126.144,,,,326.7052
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26noon/p01[count=350],200.5612,,,,,200.5612
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30eve/p03[count=350],98.8348,88.704,96.631,,,284.1698
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30eve/p04[count=350],98.8348,88.704,96.631,97.68,,381.8498
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30eve/p05[count=350],98.8348,88.704,96.631,97.68,105.115,486.9648
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30eve/p02[count=350],98.8348,88.704,,,,187.5388
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30eve/p01[count=350],98.8348,,,,,98.8348
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/30eve/p03[count=350],139.4892,121.536,120.815,,,381.8402
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/30eve/p05[count=350],139.4892,121.536,120.815,124.525,132.307,638.6722
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/30eve/p02[count=350],139.4892,121.536,,,,261.0252
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/30eve/p01[count=350],139.4892,,,,,139.4892
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30eve/p03[count=350],139.7392,121.536,122.156,,,383.4312
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30eve/p05[count=350],139.7392,121.536,122.156,125.184,133.955,642.5702
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30eve/p02[count=350],139.7392,121.536,,,,261.2752
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30eve/p01[count=350],139.7392,,,,,139.7392
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30morn/p03[count=350],70.3352,57.6,67.6568,,,195.592
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30morn/p04[count=350],70.3352,57.6,67.6568,62.608,,258.2
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30morn/p05[count=350],70.3352,57.6,67.6568,62.608,61.682,319.882
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30morn/p02[count=350],70.3352,57.6,,,,127.9352
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30morn/p01[count=350],70.3352,,,,,70.3352
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/30morn/p03[count=350],67.8352,55.872,66.3158,,,190.023
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/30morn/p05[count=350],67.8352,55.872,66.3158,64.577,60.858,315.458
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/30morn/p02[count=350],67.8352,55.872,,,,123.7072
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/30morn/p01[count=350],67.8352,,,,,67.8352
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30morn/p03[count=350],70.4148,58.176,68.1038,,,196.6946
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30morn/p05[count=350],70.4148,58.176,68.1038,65.642,61.682,324.0186
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30morn/p02[count=350],70.4148,58.176,,,,128.5908
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30morn/p01[count=350],70.4148,,,,,70.4148
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30noon/p03[count=350],132.2874,95.616,100.9176,,,328.821
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30noon/p04[count=350],132.2874,95.616,100.9176,97.709,,426.53
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30noon/p05[count=350],132.2874,95.616,100.9176,97.709,108.765,535.295
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30noon/p02[count=350],132.2874,95.616,,,,227.9034
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30noon/p01[count=350],132.2874,,,,,132.2874
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/30noon/p03[count=350],200.5958,127.296,128.8952,,,456.787
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/30noon/p05[count=350],201.2518,127.296,128.8952,143.035,157.381,757.859
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/30noon/p02[count=350],201.2518,127.296,,,,328.5478
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/30noon/p01[count=350],201.2518,,,,,201.2518
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30noon/p03[count=350],201.4302,127.872,129.7892,,,459.0914
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30noon/p05[count=350],201.4302,127.872,129.7892,143.81,158.205,761.1064
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30noon/p02[count=350],201.4302,127.872,,,,329.3022
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30noon/p01[count=350],201.4302,,,,,201.4302
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/muse/p03[count=350],139.753,82.851,114.03,,,336.634
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/muse/p04[count=350],139.753,82.851,114.03,203.089,,539.723
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/muse/p05[count=350],139.753,82.851,114.03,203.089,228.478,768.201
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/muse/p02[count=350],140.439,83.464,,,,223.903
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/muse/p01[count=350],140.439,,,,,140.439
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/muse/p05[count=350],175.752,122.648,144.851,240.386,245.785,929.422
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/muse/p02[count=350],175.752,122.648,,,,298.4
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/muse/p01[count=350],175.752,,,,,175.752
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/muse/p05[count=350],170.292,116.74,138.78,249.417,273.798,949.027
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/muse/p02[count=350],170.292,116.74,,,,287.032
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/muse/p01[count=350],170.448,,,,,170.448
clingcon,660,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p03[count=350],166.6574,107.136,115.3472,,,389.1406
clingcon,660,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p04[count=350],166.6574,107.136,115.3472,94.762,,483.9026
clingcon,660,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p05[count=350],166.6574,107.136,115.3472,94.762,131.953,615.8556
clingcon,660,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p02[count=350],166.6574,107.136,,,,273.7934
clingcon,660,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p01[count=350],166.6574,,,,,166.6574
clingcon,660,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p03[count=350],179.0382,135.936,133.8004,,,448.7746
clingcon,660,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p05[count=350],204.4722,129.024,138.5912,135.33,172.329,779.7464
clingcon,660,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p02[count=350],204.4722,129.024,,,,333.4962
clingcon,660,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p01[count=350],204.4722,,,,,204.4722
clingcon,660,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p03[count=350],179.2468,137.664,135.9322,,,452.843
clingcon,660,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p05[count=350],202.8958,126.72,138.5912,135.359,172.329,775.895
clingcon,660,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p02[count=350],202.8958,126.72,,,,329.6158
