Encoding,Horizon,Problem,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p03[count=350]_OPT_xdeltime_600.txt,14923320,9849600,10576560,,,35349480
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p04[count=350]_OPT_xdeltime_600.txt,14923320,9849600,10576560,9447200,,44796680
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p05[count=350]_OPT_xdeltime_600.txt,14923320,9849600,10576560,9447200,12971700,57768380
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p02[count=350]_OPT_xdeltime_600.txt,14923320,9849600,,,,24772920
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p01[count=350]_OPT_xdeltime_600.txt,14923320,,,,,14923320
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p03[count=350]_OPT_xdeltime_600.txt,16218580,13190400,12377180,,,41786160
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p04[count=350]_OPT_xdeltime_600.txt,19562720,12441600,12498660,13495300,,57998280
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p05[count=350]_OPT_xdeltime_600.txt,19562720,12441600,12498660,13489500,17009300,75001780
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p02[count=350]_OPT_xdeltime_600.txt,19562720,12441600,,,,32004320
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p01[count=350]_OPT_xdeltime_600.txt,19591540,,,,,19591540
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p03[count=350]_OPT_xdeltime_600.txt,16227980,13190400,12377180,,,41795560
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p04[count=350]_OPT_xdeltime_600.txt,19708900,12326400,12453960,13452600,,57941860
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p05[count=350]_OPT_xdeltime_600.txt,19708900,12326400,12453960,13452600,17009300,74951160
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p02[count=350]_OPT_xdeltime_600.txt,19708900,12326400,,,,32035300
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p01[count=350]_OPT_xdeltime_600.txt,19708900,,,,,19708900
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26morn/p03[count=350]_OPT_xdeltime_600.txt,11329480,9504000,10487160,,,31320640
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26morn/p04[count=350]_OPT_xdeltime_600.txt,11329480,9504000,10487160,9363900,,40684540
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26morn/p05[count=350]_OPT_xdeltime_600.txt,11329480,9504000,10487160,9363900,10311600,50996140
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26morn/p02[count=350]_OPT_xdeltime_600.txt,11329480,9504000,,,,20833480
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26morn/p01[count=350]_OPT_xdeltime_600.txt,11329480,,,,,11329480
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26morn/p03[count=350]_OPT_xdeltime_600.txt,16102980,13363200,12608700,,,42074880
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26morn/p04[count=350]_OPT_xdeltime_600.txt,16102980,13305600,12564000,11710200,,53682780
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26morn/p05[count=350]_OPT_xdeltime_600.txt,16102980,13305600,12564000,11710200,12618800,66301580
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26morn/p02[count=350]_OPT_xdeltime_600.txt,16102980,13363200,,,,29466180
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26morn/p01[count=350]_OPT_xdeltime_600.txt,16102980,,,,,16102980
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26morn/p03[count=350]_OPT_xdeltime_600.txt,16152980,13363200,12608700,,,42124880
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26morn/p04[count=350]_OPT_xdeltime_600.txt,16152980,13363200,12608700,11819600,,53944480
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26morn/p05[count=350]_OPT_xdeltime_600.txt,16152980,13363200,12608700,11819600,12454000,66398480
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26morn/p02[count=350]_OPT_xdeltime_600.txt,16152980,13363200,,,,29516180
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26morn/p01[count=350]_OPT_xdeltime_600.txt,16152980,,,,,16152980
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26noon/p03[count=350]_OPT_xdeltime_600.txt,13794500,9734400,9723840,,,33252740
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26noon/p04[count=350]_OPT_xdeltime_600.txt,13794500,9734400,9723840,9369700,,42622440
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26noon/p05[count=350]_OPT_xdeltime_600.txt,13794500,9734400,9723840,9369700,11406000,54028440
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26noon/p02[count=350]_OPT_xdeltime_600.txt,13794500,9734400,,,,23528900
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26noon/p01[count=350]_OPT_xdeltime_600.txt,13794500,,,,,13794500
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26noon/p03[count=350]_OPT_xdeltime_600.txt,19780500,12499200,12084920,,,44364620
