Encoding,Horizon,Problem,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p03[count=350],149.2332,98.496,105.7656,,,353.4948
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p04[count=350],149.2332,98.496,105.7656,94.472,,447.9668
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p05[count=350],149.2332,98.496,105.7656,94.472,129.717,577.6838
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p02[count=350],149.2332,98.496,,,,247.7292
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p01[count=350],149.2332,,,,,149.2332
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p03[count=350],162.1858,131.904,123.7718,,,417.8616
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p04[count=350],195.6272,124.416,124.9866,134.953,,579.9828
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p05[count=350],195.6272,124.416,124.9866,134.895,170.093,750.0178
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p02[count=350],195.6272,124.416,,,,320.0432
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p01[count=350],195.9154,,,,,195.9154
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p03[count=350],162.2798,131.904,123.7718,,,417.9556
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p04[count=350],197.089,123.264,124.5396,134.526,,579.4186
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p05[count=350],197.089,123.264,124.5396,134.526,170.093,749.5116
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p02[count=350],197.089,123.264,,,,320.353
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p01[count=350],197.089,,,,,197.089
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26morn/p03[count=350],113.2948,95.04,104.8716,,,313.2064
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26morn/p04[count=350],113.2948,95.04,104.8716,93.639,,406.8454
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26morn/p05[count=350],113.2948,95.04,104.8716,93.639,103.116,509.9614
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26morn/p02[count=350],113.2948,95.04,,,,208.3348
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26morn/p01[count=350],113.2948,,,,,113.2948
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26morn/p03[count=350],161.0298,133.632,126.087,,,420.7488
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26morn/p04[count=350],161.0298,133.056,125.64,117.102,,536.8278
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26morn/p05[count=350],161.0298,133.056,125.64,117.102,126.188,663.0158
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26morn/p02[count=350],161.0298,133.632,,,,294.6618
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26morn/p01[count=350],161.0298,,,,,161.0298
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26morn/p03[count=350],161.5298,133.632,126.087,,,421.2488
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26morn/p04[count=350],161.5298,133.632,126.087,118.196,,539.4448
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26morn/p05[count=350],161.5298,133.632,126.087,118.196,124.54,663.9848
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26morn/p02[count=350],161.5298,133.632,,,,295.1618
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26morn/p01[count=350],161.5298,,,,,161.5298
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26noon/p03[count=350],137.945,97.344,97.2384,,,332.5274
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26noon/p04[count=350],137.945,97.344,97.2384,93.697,,426.2244
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26noon/p05[count=350],137.945,97.344,97.2384,93.697,114.06,540.2844
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26noon/p02[count=350],137.945,97.344,,,,235.289
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26noon/p01[count=350],137.945,,,,,137.945
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26noon/p03[count=350],197.805,124.992,120.8492,,,443.6462
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26noon/p04[count=350],197.805,124.992,120.8492,127.965,,571.6112
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26noon/p05[count=350],197.805,124.992,120.8492,127.965,148.668,720.2792
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26noon/p02[count=350],197.805,124.992,,,,322.797
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26noon/p01[count=350],197.805,,,,,197.805
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26noon/p03[count=350],196.2956,120.96,118.6142,,,435.8698
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26noon/p04[count=350],196.2956,120.96,118.6142,125.134,,561.0038
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26noon/p05[count=350],196.2956,120.96,118.6142,125.134,145.372,706.3758
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26noon/p02[count=350],196.2956,120.96,,,,317.2556
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26noon/p01[count=350],196.2956,,,,,196.2956
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30eve/p03[count=350],98.8348,88.704,96.631,,,284.1698
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30eve/p04[count=350],98.8348,88.704,96.631,97.68,,381.8498
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30eve/p05[count=350],98.8348,88.704,96.631,97.68,105.115,486.9648
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30eve/p02[count=350],98.8348,88.704,,,,187.5388
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30eve/p01[count=350],98.8348,,,,,98.8348
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/30eve/p03[count=350],139.4892,121.536,119.474,,,380.4992
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/30eve/p04[count=350],139.4892,121.536,119.474,123.265,,503.7642
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/30eve/p05[count=350],139.4892,121.536,119.474,123.207,131.483,635.1892
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/30eve/p02[count=350],139.4892,121.536,,,,261.0252
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/30eve/p01[count=350],139.4892,,,,,139.4892
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30eve/p03[count=350],139.7392,121.536,118.133,,,379.4082
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30eve/p04[count=350],139.7392,121.536,118.133,122.121,,501.5292
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30eve/p05[count=350],139.7392,121.536,118.133,121.889,130.659,631.9562
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30eve/p02[count=350],139.7392,121.536,,,,261.2752
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30eve/p01[count=350],139.7392,,,,,139.7392
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30morn/p03[count=350],70.3352,57.6,67.6568,,,195.592
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30morn/p04[count=350],70.3352,57.6,67.6568,61.29,,256.882
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30morn/p05[count=350],70.3352,57.6,67.6568,62.608,61.682,319.882
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30morn/p02[count=350],70.3352,57.6,,,,127.9352
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30morn/p01[count=350],70.3352,,,,,70.3352
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/30morn/p03[count=350],67.8352,55.872,66.3158,,,190.023
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/30morn/p04[count=350],67.8352,55.872,66.3158,64.577,,254.6
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/30morn/p05[count=350],67.8352,55.872,66.3158,64.577,60.858,315.458
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/30morn/p02[count=350],67.8352,55.872,,,,123.7072
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/30morn/p01[count=350],67.8352,,,,,67.8352
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30morn/p03[count=350],70.4148,58.176,67.6568,,,196.2476
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30morn/p04[count=350],70.4148,58.176,67.6568,65.642,,261.8896
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30morn/p05[count=350],70.4148,58.176,67.6568,65.642,61.682,323.5716
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30morn/p02[count=350],70.4148,58.176,,,,128.5908
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30morn/p01[count=350],70.4148,,,,,70.4148
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30noon/p03[count=350],132.2874,95.616,100.9176,,,328.821
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30noon/p04[count=350],132.2874,93.312,101.8116,97.709,,425.12
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30noon/p05[count=350],132.2874,93.312,101.8116,97.709,108.765,533.885
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30noon/p02[count=350],132.2874,95.616,,,,227.9034
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/30noon/p01[count=350],132.2874,,,,,132.2874
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/30noon/p03[count=350],200.357,127.296,128.8952,,,456.5482
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/30noon/p04[count=350],200.357,127.296,128.8952,143.151,,599.6992
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/30noon/p05[count=350],200.357,127.296,128.8952,143.151,157.381,757.0802
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/30noon/p02[count=350],200.357,127.296,,,,327.653
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/30noon/p01[count=350],200.357,,,,,200.357
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30noon/p03[count=350],201.8474,127.872,129.7892,,,459.5086
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30noon/p04[count=350],201.8474,127.872,129.7892,143.81,,603.3186
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30noon/p05[count=350],201.8474,127.872,129.7892,143.81,157.381,760.6996
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30noon/p02[count=350],201.8474,127.872,,,,329.7194
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30noon/p01[count=350],201.8474,,,,,201.8474
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/muse/p03[count=350],138.534,82.851,114.03,,,335.415
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/muse/p04[count=350],138.534,82.851,114.03,203.089,,538.504
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/muse/p05[count=350],138.534,82.851,114.03,203.089,228.478,766.982
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/muse/p02[count=350],139.184,83.464,,,,222.648
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/muse/p01[count=350],139.184,,,,,139.184
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/muse/p03[count=350],175.752,122.648,144.851,,,443.251
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/muse/p04[count=350],175.752,122.648,144.384,243.67,,686.454
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/muse/p05[count=350],175.752,122.648,144.851,242.028,249.198,934.477
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/muse/p02[count=350],175.752,122.648,,,,298.4
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/muse/p01[count=350],175.752,,,,,175.752
