Encoding,Horizon,Problem,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
multi-shot,660,random/fixlen4/30morn/p02[count=350],,,,,,0.0
multi-shot,900,random/fixlen4/30morn/p01[count=350],104.6304,,,,,104.6304
multi-shot,900,random/fixlen4/30morn/p04[count=350],101.5746,81.792,92.4134,86.775,,362.555
multi-shot,840,random/fixlen4/30morn/p04[count=350],95.9094,78.336,91.7258,83.393,,349.3642
multi-shot,900,random/fixlen4/30morn/p02[count=350],,,,,,0.0
multi-shot,600,random/fixlen4/30morn/p01[count=350],67.5852,,,,,67.5852
multi-shot,600,random/fixlen4/30morn/p04[count=350],67.3766,54.72,64.0808,63.267,,249.4444
multi-shot,660,random/fixlen4/30morn/p01[count=350],,,,,,0.0
multi-shot,780,random/fixlen4/30morn/p01[count=350],90.1212,,,,,90.1212
multi-shot,720,random/fixlen4/30morn/p01[count=350],84.4766,,,,,84.4766
multi-shot,900,random/fixlen4/30morn/p05[count=350],101.5746,81.792,92.4134,86.775,85.931,448.48599999999993
multi-shot,720,random/fixlen4/30morn/p03[count=350],84.4766,69.12,80.23,,,233.82660000000004
multi-shot,840,random/fixlen4/30morn/p02[count=350],93.6418,76.032,,,,169.6738
multi-shot,600,random/fixlen4/30morn/p02[count=350],67.3766,54.72,,,,122.0966
multi-shot,780,random/fixlen4/30morn/p04[count=350],,,,,,0.0
multi-shot,660,random/fixlen4/30morn/p04[count=350],,,,,,0.0
multi-shot,780,random/fixlen4/30morn/p03[count=350],90.1212,73.152,78.4992,,,241.7724
multi-shot,660,random/fixlen4/30morn/p03[count=350],77.4354,62.208,72.8144,,,212.4578
multi-shot,840,random/fixlen4/30morn/p03[count=350],95.9094,78.336,92.1728,,,266.4182
multi-shot,840,random/fixlen4/30morn/p05[count=350],95.9094,78.336,91.7258,83.393,86.755,436.1192
multi-shot,600,random/fixlen4/30morn/p05[count=350],70.3352,57.6,68.5508,63.499,62.506,322.491
multi-shot,840,random/fixlen4/30morn/p01[count=350],93.6418,,,,,93.6418
multi-shot,900,random/fixlen4/30morn/p03[count=350],,,,,,0.0
multi-shot,720,random/fixlen4/30morn/p05[count=350],84.4766,69.12,80.23,76.426,70.275,380.5276
multi-shot,780,random/fixlen4/30morn/p02[count=350],90.1212,73.152,,,,163.2732
multi-shot,780,random/fixlen4/30morn/p05[count=350],90.1212,73.152,83.4162,75.108,78.515,400.3124
multi-shot,720,random/fixlen4/30morn/p02[count=350],84.4766,69.12,,,,153.59660000000002
multi-shot,600,random/fixlen4/30morn/p03[count=350],70.3352,57.6,68.5508,,,196.486
multi-shot,720,random/fixlen4/30morn/p04[count=350],84.4766,69.12,80.23,76.426,,310.25260000000003
multi-shot,660,random/fixlen4/30morn/p05[count=350],75.3796,61.632,68.3444,66.562,70.275,342.193
multi-shot,660,random/fixlen4/26noon/p02[count=350],175.3404,92.736,,,,268.0764
multi-shot,900,random/fixlen4/26noon/p01[count=350],201.2728,,,,,201.2728
multi-shot,900,random/fixlen4/26noon/p04[count=350],201.2728,123.84,130.843,141.161,,597.1168
multi-shot,840,random/fixlen4/26noon/p04[count=350],203.7422,119.232,127.0836,140.958,,591.0158
multi-shot,900,random/fixlen4/26noon/p02[count=350],201.2728,123.84,,,,325.1128
multi-shot,600,random/fixlen4/26noon/p01[count=350],141.6916,,,,,141.6916
multi-shot,600,random/fixlen4/26noon/p04[count=350],146.8584,94.464,92.3214,93.9,,427.5438
